Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
roberta-base,PyTorch,1000,1,0.014077901840209961,0.01504206657409668,0.02250877022743225,0.01351022720336914,8.20236849784851
roberta-base,PyTorch,1000,2,0.014450311660766602,0.014907360076904297,0.014532762050628662,0.013917684555053711,0.02855706214904785
roberta-base,PyTorch,1000,4,0.014388561248779297,0.015547990798950195,0.014754107236862183,0.013982534408569336,0.02385091781616211
roberta-base,PyTorch,1000,8,0.015142679214477539,0.015702247619628906,0.015300649881362914,0.014262676239013672,0.021235227584838867
roberta-base,PyTorch,1000,16,0.015909910202026367,0.017247676849365234,0.016047638416290283,0.014744281768798828,0.03071904182434082
roberta-large,PyTorch,1000,1,0.02882838249206543,0.03184628486633301,0.02940795946121216,0.02679157257080078,0.03644418716430664
roberta-large,PyTorch,1000,2,0.03423357009887695,0.03710126876831055,0.034269176721572876,0.02808833122253418,0.04108595848083496
roberta-large,PyTorch,1000,4,0.03377270698547363,0.036710262298583984,0.03401272392272949,0.027704715728759766,0.040744781494140625
roberta-large,PyTorch,1000,8,0.0333707332611084,0.03647112846374512,0.033742812156677245,0.027235984802246094,0.04937458038330078
roberta-large,PyTorch,1000,16,0.03130698204040527,0.034665584564208984,0.0319060754776001,0.029127836227416992,0.04894709587097168
albert-base-v2,PyTorch,1000,1,0.016759634017944336,0.017388582229614258,0.01696562910079956,0.015672922134399414,0.04799604415893555
albert-base-v2,PyTorch,1000,2,0.01735091209411621,0.020267248153686523,0.01772337007522583,0.015534162521362305,0.04462003707885742
albert-base-v2,PyTorch,1000,4,0.01806807518005371,0.019392967224121094,0.01807667112350464,0.016169071197509766,0.02204108238220215
albert-base-v2,PyTorch,1000,8,0.017548799514770508,0.018893957138061523,0.017874416589736937,0.016437053680419922,0.02523016929626465
albert-base-v2,PyTorch,1000,16,0.018944501876831055,0.019686460494995117,0.01861800456047058,0.016118526458740234,0.0357513427734375
albert-large-v2,PyTorch,1000,1,0.03655266761779785,0.037459611892700195,0.036909859657287596,0.033721923828125,0.0502774715423584
albert-large-v2,PyTorch,1000,2,0.03754854202270508,0.03871607780456543,0.03743472957611084,0.03327465057373047,0.05167222023010254
albert-large-v2,PyTorch,1000,4,0.03501009941101074,0.037607431411743164,0.035575028657913205,0.0326991081237793,0.04772067070007324
albert-large-v2,PyTorch,1000,8,0.03483986854553223,0.035782814025878906,0.03495081925392151,0.03170204162597656,0.04915285110473633
albert-large-v2,PyTorch,1000,16,0.035981178283691406,0.03925275802612305,0.03686037111282349,0.03322482109069824,0.0493471622467041
albert-xlarge-v2,PyTorch,1000,1,0.03778219223022461,0.04039621353149414,0.037766196727752686,0.0316462516784668,0.04570579528808594
albert-xlarge-v2,PyTorch,1000,2,0.037576913833618164,0.03965282440185547,0.0376925938129425,0.03252840042114258,0.05281257629394531
albert-xlarge-v2,PyTorch,1000,4,0.0373075008392334,0.03923630714416504,0.03777921915054321,0.032547712326049805,0.04647994041442871
albert-xlarge-v2,PyTorch,1000,8,0.037418365478515625,0.03864145278930664,0.03776009202003479,0.03416323661804199,0.0424957275390625
albert-xlarge-v2,PyTorch,1000,16,0.03796243667602539,0.03928041458129883,0.03811821985244751,0.036342620849609375,0.05092310905456543
albert-xxlarge-v2,PyTorch,1000,1,0.02243804931640625,0.02294778823852539,0.02242550277709961,0.01765751838684082,0.02682805061340332
albert-xxlarge-v2,PyTorch,1000,2,0.022545337677001953,0.02298736572265625,0.02246362352371216,0.018769264221191406,0.025328397750854492
albert-xxlarge-v2,PyTorch,1000,4,0.024341821670532227,0.024791479110717773,0.024280102014541626,0.018337011337280273,0.026757478713989258
albert-xxlarge-v2,PyTorch,1000,8,0.03951597213745117,0.040772438049316406,0.03941177463531494,0.018889904022216797,0.042427778244018555
albert-xxlarge-v2,PyTorch,1000,16,0.08245635032653809,0.08320426940917969,0.08209286093711853,0.019824743270874023,0.08720779418945312
bert-base-uncased,PyTorch,1000,1,0.015900850296020508,0.0165712833404541,0.01603039598464966,0.014997243881225586,0.02124786376953125
bert-base-uncased,PyTorch,1000,2,0.016455650329589844,0.01801300048828125,0.016634843826293946,0.014577627182006836,0.021223068237304688
bert-base-uncased,PyTorch,1000,4,0.016948223114013672,0.017751455307006836,0.017022905826568603,0.015407323837280273,0.021790504455566406
bert-base-uncased,PyTorch,1000,8,0.017163515090942383,0.0177609920501709,0.01728779864311218,0.016210079193115234,0.022030115127563477
bert-base-uncased,PyTorch,1000,16,0.017305612564086914,0.01784205436706543,0.017432212352752687,0.016379356384277344,0.0221860408782959
bert-large-uncased,PyTorch,1000,1,0.03260397911071777,0.034001827239990234,0.03287531423568726,0.030266523361206055,0.043572425842285156
bert-large-uncased,PyTorch,1000,2,0.03389167785644531,0.035162925720214844,0.03407533955574036,0.028885841369628906,0.04215121269226074
bert-large-uncased,PyTorch,1000,4,0.03335261344909668,0.03424644470214844,0.033655895948410036,0.03126335144042969,0.04052734375
bert-large-uncased,PyTorch,1000,8,0.03324747085571289,0.034698486328125,0.03347811603546143,0.02949833869934082,0.042946815490722656
bert-large-uncased,PyTorch,1000,16,0.033335208892822266,0.033939361572265625,0.033528139114379886,0.03148221969604492,0.04430747032165527
